#TradeId,ResultId,ResultType,ResultValue
1:EquityOption,isdaAssetClass,string,Equity
1:EquityOption,isdaBaseProduct,string,Other
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-05,double,0.158410
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-06,double,0.158497
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-09,double,0.158739
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-10,double,0.158815
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-11,double,0.158888
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-12,double,0.158959
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-13,double,0.159028
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-16,double,0.159223
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-17,double,0.159284
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-18,double,0.159344
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-19,double,0.159401
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-20,double,0.159458
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-23,double,0.159925
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-24,double,0.160072
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-25,double,0.160216
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-26,double,0.160356
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-27,double,0.160492
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-30,double,0.160881
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-31,double,0.161005
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-01,double,0.161125
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-02,double,0.161242
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-03,double,0.161357
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-06,double,0.161686
2:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-07,double,0.161791
2:EquityBarrierOption,cashFlowResults[0],cashflows,
2:EquityBarrierOption,currentNotional,double,4350000.000000
2:EquityBarrierOption,instMultiplier,double,1.000000
2:EquityBarrierOption,notionalCurrency,string,EUR
3:EquityAccumulator,isdaAssetClass,string,Equity
3:EquityAccumulator,isdaBaseProduct,string,Other
3:EquityAccumulator,isdaSubProduct,string,
3:EquityAccumulator,isdaTransaction,string,
3:EquityAccumulator,Alive,double,1.000000
3:EquityAccumulator,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4200.000000
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-09,double,4338.379869
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2024-08-09,double,4504.880015
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2025-08-09,double,4647.154673
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2026-08-09,double,4776.778155
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2027-08-09,double,4905.065901
3:EquityAccumulator,BlackScholes.Forward_EQ-RIC:.STOXX50E_2028-08-09,double,5041.904462
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-09,double,0.194507
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2024-08-09,double,0.201275
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2025-08-09,double,0.212017
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2026-08-09,double,0.220461
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2027-08-09,double,0.224772
3:EquityAccumulator,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2028-08-09,double,0.232092
3:EquityAccumulator,Fixing[0],double,4499.186514
3:EquityAccumulator,Fixing[1],double,4641.413479
3:EquityAccumulator,Fixing[2],double,4780.703162
3:EquityAccumulator,Fixing[3],double,4896.703060
3:EquityAccumulator,Fixing[4],double,5032.780426
3:EquityAccumulator,cashFlowResults[0],cashflows,103942.633154 EUR @ 2024-08-09
3:EquityAccumulator,cashFlowResults[1],cashflows,150626.839719 EUR @ 2025-08-09
3:EquityAccumulator,cashFlowResults[2],cashflows,132354.510244 EUR @ 2026-08-09
