#Date,EPE,ENE
2030-02-01,158923792.8791,160187530.0976
2030-02-15,159028085.6297,160291822.8481
2030-03-01,159147545.4536,160411282.6720
2030-03-15,159336085.6298,160599822.8482
2030-03-29,159565909.9596,160829647.1780
2030-04-12,159663233.2517,160926970.4701
2030-04-26,159740296.0752,161004033.2936
2030-05-10,165048143.9818,128724024.9130
2030-05-24,165188330.7031,128864211.6343
2030-06-07,165422859.8997,129098740.8309
2030-06-21,165524023.8192,129199904.7504
2030-07-05,165533838.0490,129209718.9802
2030-07-19,165679530.1593,129355411.0905
2030-08-02,165689140.3998,129365021.3310
2030-08-16,165911225.7290,129587106.6602
2030-08-30,166110254.7231,129786135.6543
2030-09-13,166299295.3375,129975176.2687
2030-09-27,166372817.9263,130048698.8575
2030-10-11,166619061.9715,130294942.9028
2030-10-25,166829187.6449,130505068.5762
2030-11-08,134790364.5681,135451238.2721
2030-11-22,134970259.0880,135631132.7919
2030-12-06,135209108.3247,135869982.0287
2030-12-20,135328225.9466,135989099.6505
2031-01-03,135538070.9944,136198944.6983
2031-01-17,135712327.9335,136373201.6374
2031-01-31,135859395.7780,136520269.4820
2031-02-14,135890555.0232,136551428.7272
2031-02-28,136003631.5281,136664505.2321
2031-03-14,136173236.5641,136834110.2681
2031-03-28,136356722.3888,137017596.0927
2031-04-15,136494895.0124,137155768.7163
2031-04-25,136511159.7173,137172033.4212
2031-05-09,141504225.3178,105343561.3138
2031-05-23,141629316.4732,105468652.4692
2031-06-06,141726702.9083,105566038.9043
2031-06-20,141946651.2614,105785987.2574
2031-07-07,142093147.6524,105932483.6484
2031-07-18,142205781.2513,106045117.2474
2031-08-04,142406485.0533,106245821.0494
2031-08-15,142476960.7780,106316296.7740
2031-08-29,142616711.0807,106456047.0767
2031-09-12,142754180.7129,106593516.7090
2031-09-26,142868638.1267,106707974.1227
2031-10-10,142997303.6911,106836639.6871
2031-10-24,143095781.8783,106935117.8743
2031-11-07,110705659.3044,110861844.4076
2031-11-21,110839477.4747,110995662.5779
2031-12-05,110998319.6575,111154504.7607
2031-12-19,111032823.3113,111189008.4145
2032-01-05,111148659.3547,111304844.4579
2032-01-16,111242359.8226,111398544.9258
2032-01-30,111364111.9698,111520297.0730
2032-02-13,111448752.8576,111604937.9608
2032-02-27,111501560.1990,111657745.3021
2032-03-12,111639314.8007,111795499.9039
